,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,54.70,83.70,83.74,83.31,76.73
ninco,43.75,88.06,98.15,52.50,76.73
nearood,49.22,85.88,90.94,67.90,76.73
inaturalist,9.39,98.00,99.55,91.73,76.73
textures,11.12,97.97,99.75,88.71,76.73
openimage_o,17.26,96.33,98.68,90.61,76.73
farood,12.59,97.44,99.32,90.35,76.73
