,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,53.41,84.26,84.40,83.70,76.73
ninco,43.46,88.25,98.17,53.28,76.73
nearood,48.44,86.26,91.29,68.49,76.73
inaturalist,7.86,98.29,99.61,92.91,76.73
textures,9.67,98.19,99.77,89.69,76.73
openimage_o,17.99,96.18,98.60,90.47,76.73
farood,11.84,97.55,99.33,91.03,76.73
