,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,79.15,54.55,83.35,22.87,54.88
ninco,73.50,59.79,97.92,3.99,54.88
nearood,76.33,57.17,90.63,13.43,54.88
inaturalist,41.98,79.37,98.54,12.27,54.88
textures,44.72,80.86,99.28,7.47,54.88
openimage_o,54.59,74.21,96.99,15.18,54.88
farood,47.10,78.15,98.27,11.64,54.88
