,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,73.05,65.07,81.04,42.21,54.88
ninco,65.53,70.82,97.64,9.87,54.88
nearood,69.29,67.95,89.34,26.04,54.88
inaturalist,32.21,89.54,98.81,39.02,54.88
textures,34.76,90.78,99.43,36.79,54.88
openimage_o,42.65,85.67,97.36,44.09,54.88
farood,36.54,88.66,98.53,39.97,54.88
