,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,78.85 ± 4.43,82.69 ± 0.69,77.76 ± 1.97,84.12 ± 0.04,95.06 ± 0.30
tin,74.84 ± 4.10,85.15 ± 0.09,82.57 ± 1.08,84.85 ± 0.69,95.06 ± 0.30
nearood,76.84 ± 4.26,83.92 ± 0.33,80.17 ± 1.52,84.49 ± 0.33,95.06 ± 0.30
mnist,42.14 ± 13.79,91.57 ± 2.30,61.94 ± 9.01,98.67 ± 0.37,95.06 ± 0.30
svhn,59.92 ± 10.68,87.33 ± 2.80,68.66 ± 7.06,94.83 ± 1.00,95.06 ± 0.30
texture,74.76 ± 4.66,85.60 ± 0.52,86.20 ± 0.85,81.55 ± 0.64,95.06 ± 0.30
places365,65.85 ± 5.97,87.48 ± 1.63,58.93 ± 4.30,96.32 ± 0.53,95.06 ± 0.30
farood,60.67 ± 7.23,88.00 ± 1.49,68.93 ± 5.00,92.84 ± 0.26,95.06 ± 0.30
