,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar100,89.80 ± 2.64,73.85 ± 0.76,66.56 ± 1.92,78.12 ± 0.62,95.06 ± 0.30
tin,89.42 ± 1.80,76.13 ± 1.22,71.49 ± 0.82,78.32 ± 1.79,95.06 ± 0.30
nearood,89.61 ± 2.22,74.99 ± 0.74,69.02 ± 1.26,78.22 ± 1.17,95.06 ± 0.30
mnist,78.24 ± 0.73,83.07 ± 1.79,34.94 ± 1.54,97.44 ± 0.30,95.06 ± 0.30
svhn,83.26 ± 7.90,74.91 ± 6.56,47.04 ± 10.16,90.26 ± 2.43,95.06 ± 0.30
texture,90.19 ± 2.96,76.24 ± 0.21,77.02 ± 0.89,73.62 ± 1.17,95.06 ± 0.30
places365,79.69 ± 5.31,81.88 ± 4.06,46.17 ± 6.53,94.83 ± 1.27,95.06 ± 0.30
farood,82.85 ± 3.71,79.02 ± 2.63,51.29 ± 4.12,89.04 ± 0.75,95.06 ± 0.30
