,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,84.30,59.42,83.83,26.16,73.28
ninco,76.30,68.49,98.31,5.70,73.28
nearood,80.30,63.96,91.07,15.93,73.28
inaturalist,32.72,88.82,99.21,23.41,73.28
textures,47.93,82.84,99.33,9.32,73.28
openimage_o,53.84,83.09,97.93,27.68,73.28
farood,44.83,84.91,98.83,20.14,73.28
