,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,74.37,70.08,82.63,48.02,73.28
ninco,57.66,80.01,98.42,16.56,73.28
nearood,66.02,75.04,90.53,32.29,73.28
inaturalist,22.75,94.35,99.36,59.58,73.28
textures,50.24,85.18,99.00,23.55,73.28
openimage_o,37.64,89.79,98.08,57.44,73.28
farood,36.88,89.77,98.81,46.86,73.28
