,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,64.91 ± 0.51,82.85 ± 0.27,48.27 ± 0.54,95.79 ± 0.05,86.37 ± 0.08
ninco,42.07 ± 1.75,88.61 ± 0.36,92.30 ± 0.35,82.18 ± 0.33,86.37 ± 0.08
nearood,53.49 ± 1.12,85.73 ± 0.31,70.29 ± 0.44,88.98 ± 0.19,86.37 ± 0.08
inaturalist,15.46 ± 0.99,96.43 ± 0.22,96.56 ± 0.22,96.43 ± 0.22,86.37 ± 0.08
textures,25.27 ± 0.92,95.08 ± 0.02,96.84 ± 0.03,92.81 ± 0.03,86.37 ± 0.08
openimage_o,27.18 ± 1.18,93.06 ± 0.15,90.25 ± 0.16,95.32 ± 0.09,86.37 ± 0.08
farood,22.63 ± 1.00,94.86 ± 0.12,94.55 ± 0.12,94.85 ± 0.10,86.37 ± 0.08
