,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,65.58 ± 0.73,82.69 ± 0.24,47.76 ± 0.47,95.75 ± 0.06,86.37 ± 0.08
ninco,42.66 ± 1.21,88.34 ± 0.30,92.10 ± 0.25,81.74 ± 0.43,86.37 ± 0.08
nearood,54.12 ± 0.96,85.52 ± 0.27,69.93 ± 0.36,88.75 ± 0.24,86.37 ± 0.08
inaturalist,16.29 ± 1.28,96.18 ± 0.29,96.31 ± 0.23,96.15 ± 0.35,86.37 ± 0.08
textures,28.21 ± 0.69,94.34 ± 0.20,96.29 ± 0.16,91.73 ± 0.31,86.37 ± 0.08
openimage_o,28.40 ± 0.97,92.76 ± 0.13,89.81 ± 0.24,95.09 ± 0.15,86.37 ± 0.08
farood,24.30 ± 0.85,94.43 ± 0.21,94.14 ± 0.12,94.33 ± 0.27,86.37 ± 0.08
