,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,59.17 ± 1.20,79.23 ± 0.09,79.86 ± 0.26,76.68 ± 0.05,77.26 ± 0.09
tin,51.94 ± 0.82,82.84 ± 0.13,87.98 ± 0.09,73.16 ± 0.27,77.26 ± 0.09
nearood,55.56 ± 0.81,81.04 ± 0.11,83.92 ± 0.17,74.92 ± 0.12,77.26 ± 0.09
mnist,51.21 ± 3.60,80.40 ± 1.19,54.92 ± 3.53,95.70 ± 0.19,77.26 ± 0.09
svhn,47.49 ± 2.49,85.27 ± 0.89,74.62 ± 1.61,92.79 ± 0.52,77.26 ± 0.09
texture,58.38 ± 2.03,81.02 ± 0.72,87.53 ± 0.69,69.02 ± 0.99,77.26 ± 0.09
places365,56.35 ± 0.71,80.69 ± 0.22,61.73 ± 0.40,92.18 ± 0.12,77.26 ± 0.09
farood,53.36 ± 1.08,81.84 ± 0.36,69.70 ± 0.72,87.42 ± 0.27,77.26 ± 0.09
