,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
cifar10,60.73 ± 0.62,78.78 ± 0.09,79.33 ± 0.26,76.34 ± 0.05,77.26 ± 0.09
tin,53.87 ± 1.04,82.29 ± 0.23,87.44 ± 0.16,72.62 ± 0.41,77.26 ± 0.09
nearood,57.30 ± 0.60,80.54 ± 0.16,83.38 ± 0.21,74.48 ± 0.19,77.26 ± 0.09
mnist,50.85 ± 2.76,81.45 ± 0.89,55.76 ± 2.79,96.10 ± 0.15,77.26 ± 0.09
svhn,41.47 ± 1.83,88.11 ± 0.47,78.90 ± 1.09,94.53 ± 0.27,77.26 ± 0.09
texture,55.26 ± 1.44,82.92 ± 0.59,88.69 ± 0.61,72.76 ± 0.84,77.26 ± 0.09
places365,56.35 ± 0.20,81.06 ± 0.16,61.59 ± 0.27,92.42 ± 0.10,77.26 ± 0.09
farood,50.98 ± 0.69,83.38 ± 0.20,71.23 ± 0.44,88.95 ± 0.21,77.26 ± 0.09
