,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,88.59 ± 0.21,52.95 ± 0.56,53.12 ± 0.40,53.49 ± 0.66,43.92 ± 0.12
ninco,78.68 ± 0.88,60.35 ± 0.70,92.46 ± 0.18,14.78 ± 0.51,43.92 ± 0.12
nearood,83.63 ± 0.53,56.65 ± 0.63,72.79 ± 0.29,34.13 ± 0.58,43.92 ± 0.12
inaturalist,58.09 ± 1.33,79.46 ± 1.15,94.45 ± 0.32,44.86 ± 3.29,43.92 ± 0.12
textures,68.22 ± 0.70,79.40 ± 0.49,96.62 ± 0.07,42.18 ± 2.16,43.92 ± 0.12
openimage_o,69.74 ± 0.81,69.62 ± 0.68,87.16 ± 0.28,42.85 ± 1.43,43.92 ± 0.12
farood,65.35 ± 0.91,76.16 ± 0.75,92.74 ± 0.22,43.29 ± 2.29,43.92 ± 0.12
