,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,88.82 ± 0.48,53.48 ± 1.18,53.23 ± 0.90,54.16 ± 1.11,43.92 ± 0.12
ninco,78.90 ± 1.09,60.66 ± 1.37,92.49 ± 0.32,14.97 ± 0.84,43.92 ± 0.12
nearood,83.86 ± 0.78,57.07 ± 1.27,72.86 ± 0.61,34.56 ± 0.97,43.92 ± 0.12
inaturalist,58.47 ± 2.29,79.28 ± 1.99,94.37 ± 0.55,44.82 ± 4.86,43.92 ± 0.12
textures,70.16 ± 0.91,77.90 ± 1.30,96.32 ± 0.23,38.25 ± 3.39,43.92 ± 0.12
openimage_o,70.32 ± 0.63,69.63 ± 1.51,87.11 ± 0.56,42.70 ± 2.62,43.92 ± 0.12
farood,66.31 ± 1.26,75.60 ± 1.60,92.60 ± 0.45,41.93 ± 3.62,43.92 ± 0.12
