,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,57.92,81.67,81.95,80.80,76.19
ninco,45.17,87.18,98.01,50.00,76.19
nearood,51.54,84.42,89.98,65.40,76.19
inaturalist,7.64,98.30,99.61,92.93,76.19
textures,10.58,97.88,99.74,87.93,76.19
openimage_o,20.67,95.63,98.40,89.00,76.19
farood,12.97,97.27,99.25,89.95,76.19
