,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,58.64,81.41,81.66,80.57,76.19
ninco,44.68,87.13,98.01,49.77,76.19
nearood,51.66,84.27,89.84,65.17,76.19
inaturalist,7.83,98.29,99.61,92.96,76.19
textures,10.54,97.93,99.74,88.28,76.19
openimage_o,20.56,95.63,98.41,89.01,76.19
farood,12.98,97.28,99.25,90.08,76.19
