,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,75.33,62.91,79.70,40.45,54.35
ninco,65.70,70.40,97.60,9.99,54.35
nearood,70.51,66.65,88.65,25.22,54.35
inaturalist,28.68,91.55,99.04,47.09,54.35
textures,33.11,91.35,99.46,38.12,54.35
openimage_o,45.23,85.14,97.22,44.23,54.35
farood,35.67,89.35,98.57,43.14,54.35
