,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,74.70,63.46,80.08,40.72,54.35
ninco,65.77,70.73,97.62,10.05,54.35
nearood,70.23,67.10,88.85,25.39,54.35
inaturalist,28.02,91.51,99.04,46.05,54.35
textures,32.71,91.16,99.45,36.13,54.35
openimage_o,44.83,85.22,97.24,43.59,54.35
farood,35.19,89.30,98.58,41.92,54.35
