,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,54.50,87.21,85.15,88.25,86.10
ninco,31.50,93.50,98.96,74.17,86.10
nearood,43.00,90.36,92.06,81.21,86.10
inaturalist,4.34,99.09,99.78,97.02,86.10
textures,26.06,95.21,99.32,80.44,86.10
openimage_o,13.09,97.57,99.04,94.73,86.10
farood,14.50,97.29,99.38,90.73,86.10
