,FPR@95,AUROC,AUPR_IN,AUPR_OUT,ACC
ssb_hard,62.61,84.60,82.25,86.28,86.10
ninco,47.84,90.13,98.30,68.98,86.10
nearood,55.22,87.37,90.28,77.63,86.10
inaturalist,4.41,99.02,99.75,97.08,86.10
textures,13.50,97.61,99.69,88.87,86.10
openimage_o,18.56,96.92,98.69,94.08,86.10
farood,12.15,97.85,99.38,93.35,86.10
